//=========================================================================================================================================
// NPCS
//=========================================================================================================================================
//==========================
//NOVOS SHOPS - LOREN MARKET
//==========================
0
//Monster      Map      Range   PositionX	PositionY  Direction      Comment
//NPCS BK
806		79	0	115		113		05
806		79	0	113		119		03
806		79	0	117		112		02
806		79	0	113		117		03

//NPCS SM
806		79	0	145		116 		01
806		79	0	150		111		07
806		79	0	148		116		01
806		79	0	150		113		07

//NPCS MG	
806		79	0	125		148		02
806		79	0	125		151		02

//NPCS ELF	
806		79	0	139		140		01
806		79	0	142		141		07
806		79	0	137		140		01
806		79	0	145		141		07 

//NPCS SUM
806		79	0	133		112		03
806		79	0	133		109		04

//NPCS DL
806		79	0	117		146		01
806		79	0	114		143		02

//==========

//NPCS ARMAS
//Monster      Map      Range   PositionX	PositionY      Direction      Comment

//NPCS BK/MG/DL
819		79	0	112		115		03
819		79	0	82		127		03

//NPC ARMAS MG
831		79	0	130		149 		08

//NPCS SM
824		79	0	140		111		06
833		79	0	85		136		02

//NPCS MG
578		79	0	132		140		08
813		79	0	97		136		08

//NPCS ELF
243		79	0	147		138		07
815		79	0	89		137		01
243		79	0	147		136		07
816		79	0	91		136		01

//NPCS SUM
//NPCS DL
810		79	0	120		142		07
817		79	0	84		131		02

//============

//NPCS ASAS / ANEIS / PETS / SHIELDS
//Monster      Map      Range   PositionX	PositionY      Direction      Comment
812		79	0	108		137		02
807		79	0	086		118		05

811		79	0	108		134		03
827		79	0	084		120		03

808		79	0	108		132		03
828		79	0	084		123		03

829		79	0	113		137		01
829		79	0	96		124		07

//578		79	0	114		122		01 	//npc pet

830		79	0	112		137		01 	//npc escudos
830		79	0	83		129		02 	//npc escudos

end
