//Section   Type   Level   Dur   Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5												
0																				
7	10	15	255	0	1	7	63	0	125	0	255	255	255	255	255	255	0	// Vine Helm		
7	11	15	255	0	1	7	63	0	125	0	255	255	255	255	255	255	0	// Silk Helm		
7	12	15	255	0	1	7	63	0	125	0	255	255	255	255	255	255	0	// Wind Helm		
7	13	15	255	0	1	7	63	0	125	0	255	255	255	255	255	255	0	// Spirit Helm		
8	10	15	255	0	1	7	63	0	125	0	255	255	255	255	255	255	0	// Vine Armor		
8	11	15	255	0	1	7	63	0	125	0	255	255	255	255	255	255	0	// Silk Armor		
8	12	15	255	0	1	7	63	0	125	0	255	255	255	255	255	255	0	// Wind Armor		
8	13	15	255	0	1	7	63	0	125	0	255	255	255	255	255	255	0	// Spirit Armor		
9	10	15	255	0	1	7	63	0	125	0	255	255	255	255	255	255	0	// Vine Pants		
9	11	15	255	0	1	7	63	0	125	0	255	255	255	255	255	255	0	// Silk Pants		
9	12	15	255	0	1	7	63	0	125	0	255	255	255	255	255	255	0	// Wind Pants		
9	13	15	255	0	1	7	63	0	125	0	255	255	255	255	255	255	0	// Spirit Pants		
10	10	15	255	0	1	7	63	0	125	0	255	255	255	255	255	255	0	// Vine Gloves		
10	11	15	255	0	1	7	63	0	125	0	255	255	255	255	255	255	0	// Silk Gloves		
10	12	15	255	0	1	7	63	0	125	0	255	255	255	255	255	255	0	// Wind Gloves		
10	13	15	255	0	1	7	63	0	125	0	255	255	255	255	255	255	0	// Spirit Gloves		
11	10	15	255	0	1	7	63	0	125	0	255	255	255	255	255	255	0	// Vine Boots		
11	11	15	255	0	1	7	63	0	125	0	255	255	255	255	255	255	0	// Silk Boots		
11	12	15	255	0	1	7	63	0	125	0	255	255	255	255	255	255	0	// Wind Boots		
11	13	15	255	0	1	7	63	0	125	0	255	255	255	255	255	255	0	// Spirit Boots		
end																				
																				
