//Section   Type   Level   Dur   Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5														
0																						
4	8	0	255	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Crossbow				
4	9	0	255	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Golden Crossbow				
4	10	0	255	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Arquebus				
15	201	0	255	0	0	0	0	0	0	0	255	255	255	255	255	255	0	//ESPAÇO 2X2				
4	11	0	255	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Light Crossbow				
4	12	0	255	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Serpent Crossbow				
4	13	0	255	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Bluewing Crossbow				
15	202	0	255	0	0	0	0	0	0	0	255	255	255	255	255	255	0	//ESPAÇO VAZIO 1X3				
15	202	0	255	0	0	0	0	0	0	0	255	255	255	255	255	255	0	//ESPAÇO VAZIO 1X3				
4	14	0	255	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Aquagold Crossbow				
4	16	0	255	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Saint Crossbow				
4	19	0	255	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Great Reign Crossbow				
4	18	0	255	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Divine Crossbow of Archangel				
//4	7	0	255	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Bolt				
end																						
																						
