//Section   Type   Level   Dur   Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5													
0																					
4	0	15	255	1	1	7	63	0	109	0	255	255	255	255	255	255	0	// Short Bow			
//4	1	15	255	1	1	7	63	0	109	0	255	255	255	255	255	255	0	// Bow			
4	2	15	255	1	1	7	63	0	109	0	255	255	255	255	255	255	0	// Elven Bow			
4	3	15	255	1	1	7	63	0	109	0	255	255	255	255	255	255	0	// Battle Bow			
4	4	15	255	1	1	7	63	0	109	0	255	255	255	255	255	255	0	// Tiger Bow			
4	5	15	255	1	1	7	63	0	109	0	255	255	255	255	255	255	0	// Silver Bow			
4	6	15	255	1	1	7	63	0	109	0	255	255	255	255	255	255	0	// Chaos Nature Bow			
4	17	15	255	1	1	7	63	0	109	0	255	255	255	255	255	255	0	// Celestial Bow			
4	20	15	255	1	1	7	63	0	109	0	255	255	255	255	255	255	0	// Arrow Viper Bow			
4	22	15	255	1	1	7	63	0	109	0	255	255	255	255	255	255	0	// Albatross Bow			
4	21	15	255	1	1	7	63	0	109	128	255	255	255	255	255	255	0	// Sylph Wind Bow			
//4	15	15	255	1	1	7	63	0	109	0	255	255	255	255	255	255	0	// Arrow			
end																					
																					
