//Section   Type   Level   Dur   Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5														
0																						
15	202	0	255	0	0	0	0	0	0	0	255	255	255	255	255	255	0	//ESPAÇO VAZIO 1X3				
12	5	15	255	0	1	7	63	0	0	0	255	255	255	255	255	255	0	//Wings of Dragon				
15	202	0	255	0	0	0	0	0	0	0	255	255	255	255	255	255	0	//ESPAÇO VAZIO 1X3				
13	30	15	255	0	1	7	63	0	0	0	255	255	255	255	255	255	0	//Cape of Lord				
15	207	0	255	0	0	0	0	0	0	0	255	255	255	255	255	255	0	//ESPAÇO VAZIO 2X3				
12	3	15	255	0	1	7	63	0	0	0	255	255	255	255	255	255	0	//Wings of Spirits				
15	207	0	255	0	0	0	0	0	0	0	255	255	255	255	255	255	0	//ESPAÇO VAZIO 2X3				
15	207	0	255	0	0	0	0	0	0	0	255	255	255	255	255	255	0	//ESPAÇO VAZIO 2X3				
12	4	15	255	0	1	7	63	0	0	0	255	255	255	255	255	255	0	//Wings of Soul				
15	207	0	255	0	0	0	0	0	0	0	255	255	255	255	255	255	0	//ESPAÇO VAZIO 2X3				
15	207	0	255	0	0	0	0	0	0	0	255	255	255	255	255	255	0	//ESPAÇO VAZIO 2X3				
12	42	15	255	0	1	7	63	0	0	0	255	255	255	255	255	255	0	//Wing of Curse				
15	207	0	255	0	0	0	0	0	0	0	255	255	255	255	255	255	0	//ESPAÇO VAZIO 2X3				
15	201	0	255	0	0	0	0	0	0	0	255	255	255	255	255	255	0	//ESPAÇO VAZIO 2X2				
12	6	15	255	0	1	7	63	0	0	0	255	255	255	255	255	255	0	//Wings of Darkness				
15	201	0	255	0	0	0	0	0	0	0	255	255	255	255	255	255	0	//ESPAÇO VAZIO 2X2				
//15	203	0	255	0	0	0	0	0	0	0	255	255	255	255	255	255	0	//ESPAÇO VAZIO 8X1				
//12	49	0	255	0	1	7	63	0	0	0	255	255	255	255	255	255	0	//Cape of Fighter				
end																						
