//=========================================================================================================================================
0
//ServerCode   MapServerGroup   InitSetVal   IpAddress         Port
0	       0	        1	     S1      55921
19	       0	        0	     S1      55949
end

1
//ServerCode   NotMoveOption   NextMap   NextServerCode
0	       0	       30        19
0	       0	       31        19
0	       0	       34        19
0	       0	       41        19
0	       0	       42        19
0	       0	       79        19 // Loren Market
19	       1	       30        -1
19	       1	       31        -1
19	       1	       34        -1
19	       1	       41        -1
19	       1	       42        -1
19	       1	       79        -1 // Loren Market
end
