[GameServerInfo]
;==================================================
; Chaos Item Mix Settings
;==================================================
ChaosItemMixRate_AL0 = -1
ChaosItemMixRate_AL1 = -1
ChaosItemMixRate_AL2 = -1
ChaosItemMixRate_AL3 = -1

;==================================================
; Devil Square Mix Settings
;==================================================
DevilSquareMixRate1_AL0 = 100
DevilSquareMixRate1_AL1 = 100
DevilSquareMixRate1_AL2 = 100
DevilSquareMixRate1_AL3 = 100
DevilSquareMixRate2_AL0 = 100
DevilSquareMixRate2_AL1 = 100
DevilSquareMixRate2_AL2 = 100
DevilSquareMixRate2_AL3 = 100
DevilSquareMixRate3_AL0 = 100
DevilSquareMixRate3_AL1 = 100
DevilSquareMixRate3_AL2 = 100
DevilSquareMixRate3_AL3 = 100
DevilSquareMixRate4_AL0 = 100
DevilSquareMixRate4_AL1 = 100
DevilSquareMixRate4_AL2 = 100
DevilSquareMixRate4_AL3 = 100
DevilSquareMixRate5_AL0 = 100
DevilSquareMixRate5_AL1 = 100
DevilSquareMixRate5_AL2 = 100
DevilSquareMixRate5_AL3 = 100
DevilSquareMixRate6_AL0 = 100
DevilSquareMixRate6_AL1 = 100
DevilSquareMixRate6_AL2 = 100
DevilSquareMixRate6_AL3 = 100
DevilSquareMixRate7_AL0 = 100
DevilSquareMixRate7_AL1 = 100
DevilSquareMixRate7_AL2 = 100
DevilSquareMixRate7_AL3 = 100

;==================================================
; Plus Item Mix Settings
;==================================================
PlusItemLevelMixRate1_AL0 = 60 +10 grátis
PlusItemLevelMixRate1_AL1 = 70 +10 Vip 1
PlusItemLevelMixRate1_AL2 = 80 +10 Vip 2
PlusItemLevelMixRate1_AL3 = 90 +10 Vip 3

PlusItemLevelMixRate2_AL0 = 55 +11 grátis
PlusItemLevelMixRate2_AL1 = 65 +11 VIP 1
PlusItemLevelMixRate2_AL2 = 75 +11 VIP 2
PlusItemLevelMixRate2_AL3 = 85 +11 VIP 3

PlusItemLevelMixRate3_AL0 = 50 +12 grátis
PlusItemLevelMixRate3_AL1 = 55 +12 Vip 1
PlusItemLevelMixRate3_AL2 = 60 +12 Vip 2
PlusItemLevelMixRate3_AL3 = 65 +12 Vip 3

PlusItemLevelMixRate4_AL0 = 45 +13 grátis
PlusItemLevelMixRate4_AL1 = 48 +13 Vip 1
PlusItemLevelMixRate4_AL2 = 51 +13 Vip 2
PlusItemLevelMixRate4_AL3 = 60 +13 Vip 3

PlusItemLevelMixRate5_AL0 = 35 +14 grátis
PlusItemLevelMixRate5_AL1 = 37 +14 Vip 1
PlusItemLevelMixRate5_AL2 = 39 +14 Vip 2
PlusItemLevelMixRate5_AL3 = 45 +14 Vip 3

PlusItemLevelMixRate6_AL0 = 30 +15 grátis
PlusItemLevelMixRate6_AL1 = 34 +15 Vip 1
